,name,figi,ticker,class_code,isin,currency,lot,cap
121,Славнефть-Мегионнефтегаз,BBG000NLK3N3,MFGS,TQBR,RU0009011126,rub,10,54.73
122,HENDERSON,TCS00A106XF2,HNFG,TQBR,RU000A106XF2,rub,1,22.65
125,HeadHunter Group PLC,TCS2207L1061,HHRU,TQBR,US42207L1061,rub,1,150.10
127,Сургутнефтегаз - привилегированные акции,BBG004S681M2,SNGSP,TQBR,RU0009029524,rub,100,1427.92
129,Лензолото,BBG000SK7JS5,LNZL,TQBR,RU000A0JP1N2,rub,1,18.94
130,МГТС - акции привилегированные,BBG000PZ0833,MGTSP,TQBR,RU0009036479,rub,1,156.33
132,ФСК Россети,BBG00475JZZ6,FEES,TQBR,RU000A0JPNN9,rub,10000,232.18
134,ЭЛ5-Энерго,BBG000F6YPH8,ELFV,TQBR,RU000A0F5UN3,rub,1000,23.10
137,РусГидро,BBG00475K2X9,HYDR,TQBR,RU000A0JPKH7,rub,1000,327.06
140,МТС,BBG004S681W1,MTSS,TQBR,RU0007775219,rub,10,505.39
143,Ашинский метзавод,BBG000RJWGC4,AMEZ,TQBR,RU000A0B88G6,rub,100,36.88
144,ТНС энерго Ярославль,BBG000DG57V4,YRSB,TQBR,RU000A0D8760,rub,10,15.74
145,Ижсталь - привилегированные акции,BBG002B2JCL8,IGSTP,TQBR,RU0002155300,rub,1,11.59
146,Селигдар,BBG002458LF8,SELG,TQBR,RU000A0JPR50,rub,10,63.27
148,Аэрофлот,BBG004S683W7,AFLT,TQBR,RU0009062285,rub,10,145.35
150,Ижсталь,BBG002B2JF59,IGST,TQBR,RU0002155292,rub,1,11.59
151,РУСС-ИНВЕСТ,BBG0028Z77G9,RUSI,TQBR,RU000A0JQ9W5,rub,10,12.97
152,РусАгро,BBG007N0Z367,AGRO,TQBR,US7496552057,rub,1,179.36
153,Татнефть - привилегированные акции,BBG004S68829,TATNP,TQBR,RU0006944147,rub,1,1513.10
154,VEON,BBG00R4Z2NT4,VEON-RX,TQBR,BMG9349W1038,rub,10,64.98
157,Московская Биржа,BBG004730JJ5,MOEX,TQBR,RU000A0JR4A1,rub,10,453.05
158,ОМЗ (Группа Уралмаш-Ижора) - привилегированные акции,BBG000CV9JM2,OMZZP,TQBR,RU0009090559,rub,1,37.62
160,Ozon Holdings PLC,BBG00Y91R9T3,OZON,TQBR,US69269L1044,rub,1,543.76
161,Белон,BBG000VQWH86,BLNG,TQBR,RU000A0J2QG8,rub,100,28.96
162,Донской завод радиодеталей - привилегированные акции,BBG001CPLZX1,DZRDP,TQBR,RU000A0JQW29,rub,1,2.56
163,ЧЗПСН,TCS00A0JNXF9,PRFN,TQBR,RU000A0JNXF9,rub,100,4.77
166,Сбер Банк,BBG004730N88,SBER,TQBR,RU0009029540,rub,10,6047.55
168,Самараэнерго - привилегированные акции,BBG000NLDYT7,SAGOP,TQBR,RU0009084495,rub,1000,12.79
169,Красный Октябрь - привилегированные акции,BBG000NLB601,KROTP,TQBR,RU0008913868,rub,10,22.52
170,Банк ВТБ,BBG004730ZJ9,VTBR,TQBR,RU000A0JP5V6,rub,10000,504.50
173,Курганская генерирующая компания - привилегированные акции,BBG003LD1D92,KGKCP,TQBR,RU000A0JP138,rub,10,7.54
174,ГК Самолет,BBG00F6NKQX3,SMLT,TQBR,RU000A0ZZG02,rub,1,238.80
176,Башнефть,BBG004S68758,BANE,TQBR,RU0007976957,rub,1,369.57
178,Циан АДР,BBG012YQ6P43,CIAN,TQBR,US83418T1088,rub,1,42.44
179,КарМани,TCS00A105NV2,CARM,TQBR,RU000A105NV2,rub,100,5.10
181,ТГК-2,BBG000Q7GG57,TGKB,TQBR,RU000A0JNGS7,rub,1000000,15.62
182,РУСАЛ,BBG008F2T3T2,RUAL,TQBR,RU000A1025V3,rub,10,536.69
184,НКХП,BBG00BGKYH17,NKHP,TQBR,RU000A0BLWD7,rub,10,65.20
185,ТНС энерго Марий Эл - привилегированные акции,BBG000DD66T5,MISBP,TQBR,RU000A0D8K41,rub,100,8.36
186,ГАЗ - обыкновенные акции,BBG0027SYKK2,GAZA,TQBR,RU0009034268,rub,10,15.68
187,Росгосстрах,BBG005S5WCS4,RGSS,TQBR,RU0008010855,rub,1000,120.12
188,Центр международной торговли,BBG000TG6T57,WTCM,TQBR,RU0008137070,rub,100,15.41
190,Сегежа,BBG0100R9963,SGZH,TQBR,RU000A102XG9,rub,100,63.64
192,ТНС энерго Ярославль - привилегированные акции,BBG000DG5L16,YRSBP,TQBR,RU000A0D88B3,rub,10,15.74
193,РБК,BBG001DJNR51,RBCM,TQBR,RU000A0JR6A6,rub,100,2.60
194,Волгоградэнергосбыт,BBG000FJ6LN3,VGSB,TQBR,RU000A0D8L73,rub,1000,5.89
195,Генетико,TCS00A105BN4,GECO,TQBR,RU000A105BN4,rub,10,3.66
196,Мать и дитя,BBG00Y3XYV94,MDMG,TQBR,US55279C2008,rub,1,59.80
197,ГТМ,BBG00HY6V6H5,GTRK,TQBR,RU000A0ZYD22,rub,10,19.97
200,М.видео,BBG004S68CP5,MVID,TQBR,RU000A0JPGA0,rub,1,32.23
